time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.735292	0.629424	7.20493	-6.88052e-17	3.77221e-17	radar	0	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.1605	0.49494	7.20802	-0.127194	-0.0120425	lidar	0	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.25801	0.53309	7.19322	0.122775	0.0319795	radar	0	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61583	0.595385	7.20677	0.161661	0.0483802	lidar	0	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.85116	0.561978	6.00955	0.0248242	-0.254378	radar	0	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.16292	0.591167	6.009	0.0390265	-0.193299	lidar	0	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.37904	0.636885	5.60684	0.0530355	-0.374668	radar	0	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.6562	0.65335	5.60388	0.0409064	-0.348831	lidar	0	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.9228	0.646735	5.54037	-0.00794396	-0.507916	radar	0	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.15849	0.641694	5.49521	-0.0216082	-0.466888	lidar	0	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.44409	0.536989	5.53195	-0.172995	-0.90025	radar	0	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74676	0.422898	5.60018	-0.295024	-1.13239	lidar	0	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.02807	0.510291	5.55502	-0.14653	-0.531443	radar	0	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.30193	0.503022	5.53506	-0.137048	-0.439536	lidar	0	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.56233	0.540782	5.44709	-0.0937448	-0.300342	radar	0	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.75116	0.651705	5.27816	0.0187854	0.00408649	lidar	0	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	5.00287	0.652155	5.20929	0.00927331	-0.0365954	radar	0	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.30275	0.649046	5.26295	0.0010935	-0.0522855	lidar	0	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.56043	0.659577	5.28702	0.0130838	-0.00419465	radar	0	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.85333	0.677426	5.32326	0.0239789	0.0209838	lidar	0	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.09728	0.591909	5.25751	-0.0600354	-0.195411	radar	0	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.35094	0.726559	5.23116	0.0598321	0.104841	lidar	0	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.60063	0.765769	5.19261	0.0830706	0.141623	radar	0	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.84757	0.758422	5.18055	0.065498	0.0854993	lidar	0	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.09173	0.733527	5.10017	0.0289811	-0.019879	radar	0	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.30934	0.838671	5.05581	0.113225	0.173717	lidar	0	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.60042	0.847045	5.16259	0.101243	0.12519	radar	0	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.85173	0.806242	5.15262	0.0502591	-0.00265389	lidar	0	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.10207	0.819375	5.09954	0.0455762	-0.0237826	radar	0	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.33863	0.837829	5.07912	0.0514224	-0.00798276	lidar	0	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.60243	0.971205	5.16855	0.159655	0.24634	radar	0	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.83767	1.03358	5.14752	0.190622	0.288398	lidar	0	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.12574	1.07652	5.2105	0.192047	0.251285	radar	0	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.36372	1.09586	5.18457	0.180516	0.200829	lidar	0	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.63891	1.18999	5.24471	0.224103	0.26683	radar	0	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.90601	1.33559	5.28538	0.305488	0.411311	lidar	0	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.1462	1.4777	5.25608	0.390044	0.580929	radar	0	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.372	1.53277	5.21902	0.384993	0.512742	lidar	0	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.5938	1.67238	5.17222	0.467069	0.687199	radar	0	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8315	1.64743	5.10265	0.391501	0.46597	lidar	0	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1025	1.68947	5.13412	0.351311	0.305301	radar	0	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3931	1.68792	5.13881	0.285866	0.137445	lidar	0	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6254	1.7432	5.09213	0.286478	0.137407	radar	0	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8581	1.78963	5.06593	0.275261	0.0991125	lidar	0	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
